name,href,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,query
Creamy Strawberry Crepes,https://www.allrecipes.com/recipe/143886/creamy-strawberry-crepes/,37.0,22.0,205.0,406.0,49.0,3.0,32.0,10.0,62.0,115.0,2.0,319.0,crepes
Vanilla Crepes,https://www.allrecipes.com/recipe/95817/vanilla-crepes/,7.0,4.0,66.0,146.0,16.0,0.0,4.0,3.0,0.0,45.0,1.0,72.0,crepes
Banana Crepes,https://www.allrecipes.com/recipe/25216/banana-crepes/,29.0,17.0,146.0,252.0,61.0,4.0,31.0,8.0,11.0,110.0,2.0,583.0,crepes
Egg-White Crepes,https://www.allrecipes.com/recipe/141970/egg-white-crepes/,8.0,1.0,1.0,83.0,33.0,5.0,10.0,10.0,,89.0,1.0,272.0,crepes
Claire's Yummy Crepes,https://www.allrecipes.com/recipe/20743/claires-yummy-crepes/,4.0,2.0,69.0,251.0,36.0,1.0,5.0,9.0,0.0,110.0,2.0,189.0,crepes
"Crepes with Spinach, Bacon and Mushroom Filling",https://www.allrecipes.com/recipe/24569/crepes-with-spinach-bacon-and-mushroom-filling/,36.0,16.0,160.0,785.0,18.0,4.0,6.0,16.0,21.0,218.0,3.0,698.0,crepes
Dessert Crepes,https://www.allrecipes.com/recipe/19037/dessert-crepes/,8.0,3.0,111.0,235.0,17.0,0.0,5.0,6.0,0.0,66.0,1.0,115.0,crepes
Strawberry Crepes,https://www.allrecipes.com/recipe/27161/strawberry-crepes/,13.0,7.0,47.0,27.0,36.0,3.0,16.0,5.0,24.0,42.0,2.0,203.0,crepes
Breakfast Crepes,https://www.allrecipes.com/recipe/16216/breakfast-crepes/,4.0,2.0,69.0,109.0,36.0,1.0,4.0,9.0,0.0,110.0,2.0,189.0,crepes
Chocolate Hazelnut Fruit Crepes,https://www.allrecipes.com/recipe/85808/chocolate-hazelnut-fruit-crepes/,33.0,9.0,87.0,227.0,82.0,4.0,52.0,10.0,10.0,55.0,0.0,495.0,crepes
Chocolate Crepes,https://www.allrecipes.com/recipe/16054/chocolate-crepes/,28.0,17.0,109.0,206.0,41.0,1.0,33.0,5.0,1.0,110.0,1.0,184.0,crepes
State Fair Crepes,https://www.allrecipes.com/recipe/220401/state-fair-crepes/,23.0,7.0,84.0,362.0,40.0,3.0,21.0,13.0,5.0,47.0,2.0,440.0,crepes
Yummy Apple Cinnamon Crepes,https://www.allrecipes.com/recipe/222367/yummy-apple-cinnamon-crepes/,15.0,3.0,75.0,127.0,50.0,3.0,23.0,8.0,4.0,100.0,2.0,234.0,crepes
Shrimp and Scallop Crepes,https://www.allrecipes.com/recipe/274300/shrimp-and-scallop-crepes/,25.0,15.0,216.0,591.0,29.0,1.0,7.0,24.0,3.0,239.0,3.0,476.0,crepes
Czech Crepes,https://www.allrecipes.com/recipe/274129/czech-crepes/,8.0,3.0,55.0,57.0,30.0,1.0,14.0,5.0,12.0,80.0,1.0,156.0,crepes
Basic Crêpes,https://www.allrecipes.com/recipe/16383/basic-crepes/,9.0,5.0,111.0,235.0,26.0,1.0,2.0,7.0,0.0,56.0,2.0,115.0,crepes
Chicken and Mushroom Crepes,https://www.allrecipes.com/recipe/257096/chicken-and-mushroom-crepes/,30.0,15.0,131.0,872.0,32.0,1.0,8.0,25.0,3.0,242.0,2.0,562.0,crepes
Easy Chicken-Stuffed Crepes,https://www.allrecipes.com/recipe/286298/easy-chicken-stuffed-crepes/,16.0,6.0,132.0,648.0,18.0,1.0,3.0,24.0,0.0,176.0,2.0,300.0,crepes
Pumpkin Crepes with Fontina Cheese Sauce,https://www.allrecipes.com/recipe/276900/pumpkin-crepes-with-fontina-cheese-sauce/,23.0,11.0,101.0,628.0,21.0,1.0,3.0,13.0,6.0,242.0,2.0,340.0,crepes
Cajun Shrimp Crepes,https://www.allrecipes.com/recipe/274177/cajun-shrimp-crepes/,29.0,16.0,388.0,885.0,29.0,2.0,5.0,29.0,43.0,163.0,5.0,499.0,crepes
Chicken Street Crepes,https://www.allrecipes.com/recipe/274412/chicken-street-crepes/,14.0,7.0,125.0,221.0,13.0,1.0,2.0,16.0,2.0,96.0,2.0,228.0,crepes
Healthier Basic Crepes,https://www.allrecipes.com/recipe/222144/healthier-basic-crepes/,9.0,5.0,110.0,249.0,41.0,4.0,17.0,11.0,2.0,77.0,2.0,257.0,crepes
Melt in Your Mouth Crepes,https://www.allrecipes.com/recipe/222368/melt-in-your-mouth-crepes/,14.0,8.0,126.0,147.0,45.0,1.0,9.0,12.0,0.0,166.0,3.0,270.0,crepes
Cinnamon Belgian Waffles,https://www.allrecipes.com/recipe/86538/cinnamon-belgian-waffles/,19.0,11.0,181.0,821.0,39.0,1.0,7.0,11.0,1.0,225.0,3.0,225.0,belgian waffles
Liège Belgian Waffles with Pearl Sugar,https://www.allrecipes.com/recipe/213251/liege-belgian-waffles-with-pearl-sugar/,21.0,12.0,106.0,277.0,62.0,1.0,3.0,7.0,,41.0,2.0,109.0,belgian waffles
Belgian Waffles,https://www.allrecipes.com/recipe/17681/belgian-waffles/,21.0,13.0,130.0,622.0,65.0,2.0,17.0,12.0,0.0,132.0,3.0,256.0,belgian waffles
Emma's Belgian Waffles,https://www.allrecipes.com/recipe/23390/emmas-belgian-waffles/,19.0,11.0,116.0,1279.0,57.0,2.0,15.0,11.0,0.0,302.0,3.0,224.0,belgian waffles
Bananas Foster Belgian Waffles,https://www.allrecipes.com/recipe/165384/bananas-foster-belgian-waffles/,60.0,34.0,299.0,961.0,128.0,4.0,72.0,15.0,8.0,349.0,4.0,678.0,belgian waffles
Eggnog-Raspberry Belgian Waffles,https://www.allrecipes.com/recipe/97920/eggnog-raspberry-belgian-waffles/,25.0,15.0,129.0,237.0,78.0,4.0,44.0,8.0,11.0,210.0,2.0,242.0,belgian waffles
Fluffy Belgian Waffles,https://www.allrecipes.com/recipe/281826/fluffy-belgian-waffles/,24.0,5.0,131.0,763.0,40.0,3.0,8.0,12.0,0.0,393.0,3.0,271.0,belgian waffles
