sex,geo,year,unit,total
T, TOTAL,1990,NR,96929
T, TOTAL,1991,NR,44160
T, TOTAL,1992,NR,31152
T, TOTAL,1993,NR,18446
T, TOTAL,1994,NR,17146
T, TOTAL,1995,NR,25675
T, TOTAL,1996,NR,21526
T, TOTAL,1997,NR,19945
T, TOTAL,1998,NR,17536
T, TOTAL,1999,NR,12594
T, TOTAL,2000,NR,14753
T, TOTAL,2001,NR,9921
T, TOTAL,2002,NR,8154
T, TOTAL,2003,NR,10673
T, TOTAL,2004,NR,13082
T, TOTAL,2005,NR,10938
T, TOTAL,2006,NR,14197
T, TOTAL,2007,NR,8830
T, TOTAL,2008,NR,8739
T, TOTAL,2009,NR,10211
T, TOTAL,2010,NR,7906
T, TOTAL,2011,NR,18307
T, TOTAL,2012,NR,18001
T, TOTAL,2013,NR,19056
T, TOTAL,2014,NR,11251
T, TOTAL,2015,NR,15235
T, TOTAL,2016,NR,22807
T, TOTAL,2017,NR,23156
T, TOTAL,2018,NR,27229
T, TOTAL,2019,NR,26775
T, TOTAL,2020,NR,21031
T, MACROREGIUNEA UNU,1990,NR,50977
T, MACROREGIUNEA UNU,1991,NR,22661
T, MACROREGIUNEA UNU,1992,NR,16584
T, MACROREGIUNEA UNU,1993,NR,8090
T, MACROREGIUNEA UNU,1994,NR,6351
T, MACROREGIUNEA UNU,1995,NR,9779
T, MACROREGIUNEA UNU,1996,NR,7282
T, MACROREGIUNEA UNU,1997,NR,7074
T, MACROREGIUNEA UNU,1998,NR,4825
T, MACROREGIUNEA UNU,1999,NR,3621
T, MACROREGIUNEA UNU,2000,NR,4911
T, MACROREGIUNEA UNU,2001,NR,3272
T, MACROREGIUNEA UNU,2002,NR,3164
T, MACROREGIUNEA UNU,2003,NR,4112
T, MACROREGIUNEA UNU,2004,NR,5228
T, MACROREGIUNEA UNU,2005,NR,3759
T, MACROREGIUNEA UNU,2006,NR,4615
T, MACROREGIUNEA UNU,2007,NR,2615
T, MACROREGIUNEA UNU,2008,NR,2641
T, MACROREGIUNEA UNU,2009,NR,2973
T, MACROREGIUNEA UNU,2010,NR,2155
T, MACROREGIUNEA UNU,2011,NR,3678
T, MACROREGIUNEA UNU,2012,NR,3542
T, MACROREGIUNEA UNU,2013,NR,3718
T, MACROREGIUNEA UNU,2014,NR,2646
T, MACROREGIUNEA UNU,2015,NR,3625
T, MACROREGIUNEA UNU,2016,NR,5113
T, MACROREGIUNEA UNU,2017,NR,5084
T, MACROREGIUNEA UNU,2018,NR,5939
T, MACROREGIUNEA UNU,2019,NR,5505
T, MACROREGIUNEA UNU,2020,NR,3993
T, Regiunea NORD-VEST,1990,NR,11296
T, Regiunea NORD-VEST,1991,NR,6754
T, Regiunea NORD-VEST,1992,NR,5593
T, Regiunea NORD-VEST,1993,NR,2752
T, Regiunea NORD-VEST,1994,NR,2532
T, Regiunea NORD-VEST,1995,NR,4070
T, Regiunea NORD-VEST,1996,NR,3311
T, Regiunea NORD-VEST,1997,NR,3003
T, Regiunea NORD-VEST,1998,NR,2142
T, Regiunea NORD-VEST,1999,NR,1657
T, Regiunea NORD-VEST,2000,NR,2271
T, Regiunea NORD-VEST,2001,NR,1569
T, Regiunea NORD-VEST,2002,NR,1536
T, Regiunea NORD-VEST,2003,NR,1893
T, Regiunea NORD-VEST,2004,NR,2270
T, Regiunea NORD-VEST,2005,NR,1595
T, Regiunea NORD-VEST,2006,NR,1876
T, Regiunea NORD-VEST,2007,NR,1045
T, Regiunea NORD-VEST,2008,NR,1137
T, Regiunea NORD-VEST,2009,NR,1284
T, Regiunea NORD-VEST,2010,NR,992
T, Regiunea NORD-VEST,2011,NR,1757
T, Regiunea NORD-VEST,2012,NR,1766
T, Regiunea NORD-VEST,2013,NR,1848
T, Regiunea NORD-VEST,2014,NR,1301
T, Regiunea NORD-VEST,2015,NR,1831
T, Regiunea NORD-VEST,2016,NR,2523
T, Regiunea NORD-VEST,2017,NR,2482
T, Regiunea NORD-VEST,2018,NR,2896
T, Regiunea NORD-VEST,2019,NR,2695
T, Regiunea NORD-VEST,2020,NR,1906
T, Bihor,1990,NR,3011
T, Bihor,1991,NR,1789
T, Bihor,1992,NR,1646
T, Bihor,1993,NR,793
T, Bihor,1994,NR,552
T, Bihor,1995,NR,1018
T, Bihor,1996,NR,658
T, Bihor,1997,NR,734
T, Bihor,1998,NR,466
T, Bihor,1999,NR,289
T, Bihor,2000,NR,497
T, Bihor,2001,NR,317
T, Bihor,2002,NR,334
T, Bihor,2003,NR,425
T, Bihor,2004,NR,521
T, Bihor,2005,NR,297
T, Bihor,2006,NR,335
T, Bihor,2007,NR,178
T, Bihor,2008,NR,181
T, Bihor,2009,NR,219
T, Bihor,2010,NR,143
T, Bihor,2011,NR,281
T, Bihor,2012,NR,263
T, Bihor,2013,NR,259
T, Bihor,2014,NR,176
T, Bihor,2015,NR,226
T, Bihor,2016,NR,369
T, Bihor,2017,NR,305
T, Bihor,2018,NR,421
T, Bihor,2019,NR,392
T, Bihor,2020,NR,282
T, Bistrita-Nasaud,1990,NR,457
T, Bistrita-Nasaud,1991,NR,356
T, Bistrita-Nasaud,1992,NR,318
T, Bistrita-Nasaud,1993,NR,136
T, Bistrita-Nasaud,1994,NR,149
T, Bistrita-Nasaud,1995,NR,312
T, Bistrita-Nasaud,1996,NR,219
T, Bistrita-Nasaud,1997,NR,232
T, Bistrita-Nasaud,1998,NR,129
T, Bistrita-Nasaud,1999,NR,145
T, Bistrita-Nasaud,2000,NR,147
T, Bistrita-Nasaud,2001,NR,114
T, Bistrita-Nasaud,2002,NR,121
T, Bistrita-Nasaud,2003,NR,96
T, Bistrita-Nasaud,2004,NR,151
T, Bistrita-Nasaud,2005,NR,121
T, Bistrita-Nasaud,2006,NR,176
T, Bistrita-Nasaud,2007,NR,120
T, Bistrita-Nasaud,2008,NR,111
T, Bistrita-Nasaud,2009,NR,129
T, Bistrita-Nasaud,2010,NR,105
T, Bistrita-Nasaud,2011,NR,271
T, Bistrita-Nasaud,2012,NR,334
T, Bistrita-Nasaud,2013,NR,321
T, Bistrita-Nasaud,2014,NR,219
T, Bistrita-Nasaud,2015,NR,267
T, Bistrita-Nasaud,2016,NR,385
T, Bistrita-Nasaud,2017,NR,362
T, Bistrita-Nasaud,2018,NR,442
T, Bistrita-Nasaud,2019,NR,369
T, Bistrita-Nasaud,2020,NR,281
T, Cluj,1990,NR,2965
T, Cluj,1991,NR,1604
T, Cluj,1992,NR,1277
T, Cluj,1993,NR,618
T, Cluj,1994,NR,531
T, Cluj,1995,NR,986
T, Cluj,1996,NR,823
T, Cluj,1997,NR,693
T, Cluj,1998,NR,602
T, Cluj,1999,NR,593
T, Cluj,2000,NR,647
T, Cluj,2001,NR,535
T, Cluj,2002,NR,538
T, Cluj,2003,NR,661
T, Cluj,2004,NR,665
T, Cluj,2005,NR,479
T, Cluj,2006,NR,557
T, Cluj,2007,NR,325
T, Cluj,2008,NR,391
T, Cluj,2009,NR,447
T, Cluj,2010,NR,345
T, Cluj,2011,NR,506
T, Cluj,2012,NR,503
T, Cluj,2013,NR,501
T, Cluj,2014,NR,351
T, Cluj,2015,NR,529
T, Cluj,2016,NR,724
T, Cluj,2017,NR,783
T, Cluj,2018,NR,838
T, Cluj,2019,NR,834
T, Cluj,2020,NR,536
T, Maramures,1990,NR,1356
T, Maramures,1991,NR,1002
T, Maramures,1992,NR,747
T, Maramures,1993,NR,413
T, Maramures,1994,NR,383
T, Maramures,1995,NR,658
T, Maramures,1996,NR,577
T, Maramures,1997,NR,461
T, Maramures,1998,NR,285
T, Maramures,1999,NR,179
T, Maramures,2000,NR,297
T, Maramures,2001,NR,204
T, Maramures,2002,NR,173
T, Maramures,2003,NR,289
T, Maramures,2004,NR,348
T, Maramures,2005,NR,282
T, Maramures,2006,NR,330
T, Maramures,2007,NR,195
T, Maramures,2008,NR,179
T, Maramures,2009,NR,273
T, Maramures,2010,NR,183
T, Maramures,2011,NR,296
T, Maramures,2012,NR,310
T, Maramures,2013,NR,374
T, Maramures,2014,NR,273
T, Maramures,2015,NR,330
T, Maramures,2016,NR,466
T, Maramures,2017,NR,482
T, Maramures,2018,NR,550
T, Maramures,2019,NR,448
T, Maramures,2020,NR,393
T, Satu Mare,1990,NR,3084
T, Satu Mare,1991,NR,1663
T, Satu Mare,1992,NR,1338
T, Satu Mare,1993,NR,665
T, Satu Mare,1994,NR,806
T, Satu Mare,1995,NR,871
T, Satu Mare,1996,NR,868
T, Satu Mare,1997,NR,708
T, Satu Mare,1998,NR,497
T, Satu Mare,1999,NR,344
T, Satu Mare,2000,NR,544
T, Satu Mare,2001,NR,267
T, Satu Mare,2002,NR,245
T, Satu Mare,2003,NR,322
T, Satu Mare,2004,NR,463
T, Satu Mare,2005,NR,338
T, Satu Mare,2006,NR,398
T, Satu Mare,2007,NR,188
T, Satu Mare,2008,NR,208
T, Satu Mare,2009,NR,158
T, Satu Mare,2010,NR,155
T, Satu Mare,2011,NR,296
T, Satu Mare,2012,NR,254
T, Satu Mare,2013,NR,273
T, Satu Mare,2014,NR,218
T, Satu Mare,2015,NR,410
T, Satu Mare,2016,NR,447
T, Satu Mare,2017,NR,433
T, Satu Mare,2018,NR,479
T, Satu Mare,2019,NR,499
T, Satu Mare,2020,NR,284
T, Salaj,1990,NR,423
T, Salaj,1991,NR,340
T, Salaj,1992,NR,267
T, Salaj,1993,NR,127
T, Salaj,1994,NR,111
T, Salaj,1995,NR,225
T, Salaj,1996,NR,166
T, Salaj,1997,NR,175
T, Salaj,1998,NR,163
T, Salaj,1999,NR,107
T, Salaj,2000,NR,139
T, Salaj,2001,NR,132
T, Salaj,2002,NR,125
T, Salaj,2003,NR,100
T, Salaj,2004,NR,122
T, Salaj,2005,NR,78
T, Salaj,2006,NR,80
T, Salaj,2007,NR,39
T, Salaj,2008,NR,67
T, Salaj,2009,NR,58
T, Salaj,2010,NR,61
T, Salaj,2011,NR,107
T, Salaj,2012,NR,102
T, Salaj,2013,NR,120
T, Salaj,2014,NR,64
T, Salaj,2015,NR,69
T, Salaj,2016,NR,132
T, Salaj,2017,NR,117
T, Salaj,2018,NR,166
T, Salaj,2019,NR,153
T, Salaj,2020,NR,130
T, Regiunea CENTRU,1990,NR,39681
T, Regiunea CENTRU,1991,NR,15907
T, Regiunea CENTRU,1992,NR,10991
T, Regiunea CENTRU,1993,NR,5338
T, Regiunea CENTRU,1994,NR,3819
T, Regiunea CENTRU,1995,NR,5709
T, Regiunea CENTRU,1996,NR,3971
T, Regiunea CENTRU,1997,NR,4071
T, Regiunea CENTRU,1998,NR,2683
T, Regiunea CENTRU,1999,NR,1964
T, Regiunea CENTRU,2000,NR,2640
T, Regiunea CENTRU,2001,NR,1703
T, Regiunea CENTRU,2002,NR,1628
T, Regiunea CENTRU,2003,NR,2219
T, Regiunea CENTRU,2004,NR,2958
T, Regiunea CENTRU,2005,NR,2164
T, Regiunea CENTRU,2006,NR,2739
T, Regiunea CENTRU,2007,NR,1570
T, Regiunea CENTRU,2008,NR,1504
T, Regiunea CENTRU,2009,NR,1689
T, Regiunea CENTRU,2010,NR,1163
T, Regiunea CENTRU,2011,NR,1921
T, Regiunea CENTRU,2012,NR,1776
T, Regiunea CENTRU,2013,NR,1870
T, Regiunea CENTRU,2014,NR,1345
T, Regiunea CENTRU,2015,NR,1794
T, Regiunea CENTRU,2016,NR,2590
T, Regiunea CENTRU,2017,NR,2602
T, Regiunea CENTRU,2018,NR,3043
T, Regiunea CENTRU,2019,NR,2810
T, Regiunea CENTRU,2020,NR,2087
T, Alba,1990,NR,2773
T, Alba,1991,NR,1197
T, Alba,1992,NR,625
T, Alba,1993,NR,545
T, Alba,1994,NR,272
T, Alba,1995,NR,466
T, Alba,1996,NR,330
T, Alba,1997,NR,309
T, Alba,1998,NR,184
T, Alba,1999,NR,158
T, Alba,2000,NR,187
T, Alba,2001,NR,125
T, Alba,2002,NR,86
T, Alba,2003,NR,168
T, Alba,2004,NR,189
T, Alba,2005,NR,146
T, Alba,2006,NR,239
T, Alba,2007,NR,142
T, Alba,2008,NR,153
T, Alba,2009,NR,155
T, Alba,2010,NR,105
T, Alba,2011,NR,241
T, Alba,2012,NR,287
T, Alba,2013,NR,262
T, Alba,2014,NR,161
T, Alba,2015,NR,193
T, Alba,2016,NR,288
T, Alba,2017,NR,314
T, Alba,2018,NR,396
T, Alba,2019,NR,374
T, Alba,2020,NR,267
T, Brasov,1990,NR,8925
T, Brasov,1991,NR,3499
T, Brasov,1992,NR,1993
T, Brasov,1993,NR,1231
T, Brasov,1994,NR,1037
T, Brasov,1995,NR,1521
T, Brasov,1996,NR,1171
T, Brasov,1997,NR,1304
T, Brasov,1998,NR,905
T, Brasov,1999,NR,703
T, Brasov,2000,NR,974
T, Brasov,2001,NR,637
T, Brasov,2002,NR,517
T, Brasov,2003,NR,640
T, Brasov,2004,NR,754
T, Brasov,2005,NR,667
T, Brasov,2006,NR,831
T, Brasov,2007,NR,557
T, Brasov,2008,NR,502
T, Brasov,2009,NR,580
T, Brasov,2010,NR,374
T, Brasov,2011,NR,555
T, Brasov,2012,NR,474
T, Brasov,2013,NR,550
T, Brasov,2014,NR,421
T, Brasov,2015,NR,641
T, Brasov,2016,NR,934
T, Brasov,2017,NR,1000
T, Brasov,2018,NR,1126
T, Brasov,2019,NR,1030
T, Brasov,2020,NR,722
T, Covasna,1990,NR,766
T, Covasna,1991,NR,540
T, Covasna,1992,NR,486
T, Covasna,1993,NR,177
T, Covasna,1994,NR,174
T, Covasna,1995,NR,308
T, Covasna,1996,NR,203
T, Covasna,1997,NR,183
T, Covasna,1998,NR,113
T, Covasna,1999,NR,75
T, Covasna,2000,NR,111
T, Covasna,2001,NR,72
T, Covasna,2002,NR,65
T, Covasna,2003,NR,74
T, Covasna,2004,NR,121
T, Covasna,2005,NR,104
T, Covasna,2006,NR,125
T, Covasna,2007,NR,78
T, Covasna,2008,NR,56
T, Covasna,2009,NR,69
T, Covasna,2010,NR,65
T, Covasna,2011,NR,110
T, Covasna,2012,NR,73
T, Covasna,2013,NR,99
T, Covasna,2014,NR,65
T, Covasna,2015,NR,80
T, Covasna,2016,NR,113
T, Covasna,2017,NR,88
T, Covasna,2018,NR,108
T, Covasna,2019,NR,120
T, Covasna,2020,NR,60
T, Harghita,1990,NR,1448
T, Harghita,1991,NR,1076
T, Harghita,1992,NR,916
T, Harghita,1993,NR,407
T, Harghita,1994,NR,379
T, Harghita,1995,NR,722
T, Harghita,1996,NR,362
T, Harghita,1997,NR,322
T, Harghita,1998,NR,213
T, Harghita,1999,NR,146
T, Harghita,2000,NR,179
T, Harghita,2001,NR,154
